id,text,label,label_name
1,"9월 10일 핀크스 주말타임은 모두 마감이라 예약이 불가합니다",0,불가
2,"김기훈님 2인 항공 발권 완료되었으며 일정표 전달드립니다",1,확정
3,"하노이 리조트 재고 확인 중이라 확정까지 조금만 기다려주세요",2,보류
4,"10월 블랙스톤은 단체 행사로 예약 진행 어렵습니다",0,불가
5,"박진우님 입금 확인하였고 패키지 확정 처리 완료했습니다",1,확정
6,"괌 노선 좌석 조율 중이라 결과 나오면 바로 안내드릴게요",2,보류
7,"7월 20일 해슬리 나인브릿지 예약은 현재 불가합니다",0,불가
8,"4인 라운딩 오후 12시 티업으로 확정되었습니다",1,확정
9,"싱가포르 항공요금 업데이트 중이라 확정까지 시간 필요합니다",2,보류
10,"추석 기간 제주 구장 대부분 예약 불가 상태입니다",0,불가
11,"홍성민님 결제 확인되었고 3박 리조트 예약 완료했습니다",1,확정
12,"오키나와 호텔 비용 변동 확인 중이라 잠시만 기다려주세요",2,보류
13,"8월 1일 휘닉스제주 잔여 티업이 없어 예약이 어렵습니다",0,불가
14,"항공권 발권 정상 처리되었으며 영수증도 함께 전송드렸습니다",1,확정
15,"9월 중순 다낭 리조트 쿼터 부족으로 대기 중입니다",2,보류
16,"토요일 라온CC는 이번달 예약이 꽉 찼습니다",0,불가
17,"김은지님 요청 일정으로 모두 확정 완료되었습니다",1,확정
18,"방콕 호텔 룸타입 확인 중이라 확정까지 조금 걸릴 수 있습니다",2,보류
19,"10월 베어즈베스트는 비회원 예약 진행 불가합니다",0,불가
20,"입금 내역 확인 후 항공 발권까지 모두 완료했습니다",1,확정
21,"11월 인천-후쿠오카 좌석 상황 조회 중입니다",2,보류
22,"라햄버스는 클럽 행사로 해당일 예약이 불가합니다",0,불가
23,"박은호님 1박 패키지 정상 확정되었고 바우처 전달드렸습니다",1,확정
24,"유류할증 변동 예정으로 금액 재확인 중입니다",2,보류
25,"12월 롯데제주 주말은 단체 행사로 인해 불가합니다",0,불가
26,"10:40 티업 확정되었습니다 즐거운 라운딩 되세요",1,확정
27,"괌 항공권 잔여 좌석 체크 중입니다 조금만 기다려주세요",2,보류
28,"8월 말 블루원 상주 예약 마감으로 불가합니다",0,불가
29,"결제 승인 확인되어 예약 확정 완료했습니다",1,확정
30,"오사카 리턴편 좌석 확보 여부 확인 중입니다",2,보류
31,"11월 제주 클럽나인 예약이 이미 꽉 찼습니다",0,불가
32,"박소현님 항공 발권 및 호텔 확정 완료되었습니다",1,확정
33,"항공 일정 변경 가능성 있어 재확인 중입니다",2,보류
34,"9월 22일 해비치 주말 예약이 모두 마감되었습니다",0,불가
35,"패키지 결제 확인! 일정 확정해두었습니다",1,확정
36,"세부 호텔 가격 변동 확인 후 안내드리겠습니다",2,보류
37,"라온CC는 이번주 비회원 예약 불가합니다",0,불가
38,"3인 항공권 정상 발권 완료했습니다",1,확정
39,"홍콩행 좌석 체크 중이라 시간 조금만 주세요",2,보류
40,"주말 베어즈베스트 예약이 만석입니다",0,불가
41,"김도훈님 요청건 오늘부로 확정 처리되었습니다",1,확정
42,"다낭 리조트 확인 중이라 확정 전 대기 필요합니다",2,보류
43,"토스카나 리조트 주말 예약은 현재 불가합니다",0,불가
44,"국내선 발권 및 숙박 모두 확정 완료했습니다",1,확정
45,"괌 항공편 딜레이 여부 확인 중입니다",2,보류
46,"10월 나인브릿지 평일 또한 자리 없습니다",0,불가
47,"결제 감사드리며 예약 확정 처리했습니다",1,확정
48,"베트남 항공요금 변동 체크중입니다",2,보류
49,"주말 라운딩은 모든 타임이 예약 불가합니다",0,불가
50,"리조트 2박 일정 정상 확정 완료되었습니다",1,확정
51,"싱가포르 호텔 룸 확인 후 다시 안내드릴게요",2,보류
52,"핀크스 7월 예약은 대회로 인해 어렵습니다",0,불가
53,"입금 확인 완료! 항공 발권 진행하겠습니다",1,확정
54,"10월 베트남 항공 공급 좌석 확인 중",2,보류
55,"해슬리 주말 타임 모두 마감되었습니다",0,불가
56,"제주항공 발권 완료 및 바우처 전달했습니다",1,확정
57,"다낭 숙소 룸타입 변경 요청 확인 중입니다",2,보류
58,"8월 킨텍스 라운딩 예약 불가합니다",0,불가
59,"오후 13:10 티업 확정 완료되었습니다",1,확정
60,"11월 하노이 리조트 재고 조회 중입니다",2,보류
61,"롯데스카이힐 해당일 접수 불가입니다",0,불가
62,"발권 및 호텔 예약 모두 확정했습니다",1,확정
63,"세부 왕복 스케줄 수정 확인 중입니다",2,보류
64,"주말 휘슬핑크는 입회 조건 있어 불가합니다",0,불가
65,"김혜린님 일정 확정 완료하며 영수증 전달드립니다",1,확정
66,"제주 국내선 환불 규정 확인 중입니다",2,보류
67,"남해 사우스링스는 단체 행사로 불가합니다",0,불가
68,"예약 승인되었으며 확정문자 발송했습니다",1,확정
69,"일본 항공 좌석 현황 확인 중이에요",2,보류
70,"사이판 리조트 주말은 예약이 어렵습니다",0,불가
71,"3인 골프패키지 확정 완료했습니다",1,확정
72,"이동 경유편 연결 여부 확인 중입니다",2,보류
73,"제주베이힐 해당일 예약 마감입니다",0,불가
74,"호텔+항공 패키지 모두 확정 처리됨",1,확정
75,"항공편 일정 조율 후 안내드릴게요",2,보류
76,"9월 블루원제주 자리 없어 불가합니다",0,불가
77,"12:50 티업 확정되었고 카트 포함",1,확정
78,"유류세 변경으로 금액 확인 중입니다",2,보류
79,"휘닉스 제주 대회 일정으로 불가합니다",0,불가
