id,text,label,label_name
1,사장님 죄송하지만 10월 18일 블랙스톤은 대회 기간이라 예약이 아예 막혀있습니다,0,불가
2,김종열님 2박3일 지상비 입금 확인했습니다 항공 발권 진행할게요,1,확정
3,지금 핀크스는 비회원 예약을 안 받아서 진행이 어렵습니다 다른 구장 보셔야 해요,0,불가
4,8월 15일 해비치 대중제 08:08 티업으로 확정되었습니다 즐거운 라운딩 되세요,1,확정
5,현재 9월 항공권이 추석 연휴라 조회가 안 됩니다 티몬 사태 때문에 좀 기다려주셔야 해요,2,보류
6,아쉽게도 해당 날짜 에어시티 호텔은 만실이라 대기 예약도 안 받아줍니다,0,불가
7,치앙마이 하이랜드 골프텔 트윈룸은 안 나오고 더블룸만 가능합니다 변경하시겠어요?,2,보류
8,11월 12일 블랙스톤 3팀 식사 조건부로 예약 픽스했습니다,1,확정
9,지금 딜리버리 기사님들이 파업 중이라 배차 확인이 좀 늦어지고 있습니다 잠시만요,2,보류
10,안타깝게도 22일 사이프러스 조인 대기자가 없어서 2인 플레이 하셔야 할 것 같아요,0,불가
11,고객님 우천으로 인한 9홀 정산 11만원 환불 처리 완료해 드렸습니다,1,확정
12,말레이시아 카메론 하이랜드 쪽은 저희가 주력으로 하는 지역이 아니라 견적 산출이 어렵습니다,0,불가
13,8월 3일 테디밸리 2부는 7월 초에 티 오픈이라 그때 정확한 시간 나옵니다 일단 선접수 받을게요,2,보류
14,정세환님 제주 골프 2박 3일 예약 확정서 카톡으로 보내드렸습니다 확인 부탁드려요,1,확정
15,죄송해요 10월 8일 출발은 이미 마감되었습니다 대기도 안 됩니다,0,불가
16,지금 엔화 환율 변동이 심해서 사츠마 지상비 견적 다시 뽑고 있습니다 오후에 드릴게요,2,보류
17,라온 골프텔 34평형 예약 잡았습니다 입금해 주시면 바우처 나갑니다,1,확정
18,8월 1일은 극성수기라 렌트카 수배가 안 됩니다 전 차량 마감이에요,0,불가
19,김해 출발 항공편이 리턴 티켓이 아예 없어서 예약 진행이 불가능합니다,0,불가
20,11월 17일 라헨느 12:30 선조인으로 일단 잡아두고 조인 모객 시작할게요,2,보류
21,유은경님 딜리버리 서비스 신청 완료되었습니다 기사님께 도착 후 연락주세요,1,확정
22,혹시 몰라서 아시아나 대기 걸어놨는데 좌석 나올 확률은 50대 50입니다,2,보류
23,해당 상품은 컴 5만원 포함된 금액으로 확정되었습니다 진행하시죠,1,확정
24,사장님 이 날짜는 100% 위약금 구간이라 취소가 불가능합니다,0,불가
25,제주 썬호텔 VIP 스위트 룸으로 업그레이드 확정해 드렸습니다 추가금은 없습니다,1,확정
26,지금 현지 골프장 에어레이션 작업 중이라 그린 상태가 안 좋아서 예약 권장하지 않습니다,2,보류
27,문의하신 12월 5일 에코랜드 2팀 티업 시간 08:10으로 픽스했습니다,1,확정
28,장경섭님 항공권 발권 완료했습니다 이스타항공 예약번호 확인해주세요,1,확정
29,10월 20일 출발은 항공 좌석이 3자리밖에 안 남아서 4명은 진행 어렵습니다,0,불가
